__time,/foil_consigne/servo_aileron_left,/foil_consigne/servo_aileron_right,/foil_consigne/servo_foil,/foil_consigne/servo_gouvernail,/foil_consigne/thruster
1707317333.335291,2.490658045,-0.472295403,-1.481476665,0.000000000,40.000000000
1707317333.434935,2.496119499,-0.467103451,-1.481611490,0.000000000,40.000000000
1707317333.534990,2.493059635,-0.469593346,-1.481326461,0.000000000,40.000000000
1707317333.635074,2.486074448,-0.477792919,-1.481933713,0.000000000,40.000000000
1707317333.735118,2.472697258,-0.489848286,-1.481272697,0.000000000,40.000000000
1707317333.835020,2.464598656,-0.496765614,-1.480682135,0.000000000,40.000000000
1707317333.935278,2.461809158,-0.500464022,-1.481136560,0.000000000,40.000000000
1707317334.034864,2.466502905,-0.497064859,-1.481783867,0.000000000,40.000000000
1707317334.134810,2.472104788,-0.491147012,-1.481625915,0.000000000,40.000000000
1707317334.235175,2.483744860,-0.477523535,-1.480634212,0.000000000,40.000000000
1707317334.334938,2.490818024,-0.471280813,-1.481049418,0.000000000,40.000000000
1707317334.434800,2.490353107,-0.471898347,-1.481125712,0.000000000,40.000000000
1707317334.535155,2.487159491,-0.478337377,-1.482748389,0.000000000,40.000000000
1707317334.634791,2.479217291,-0.485664785,-1.482441068,0.000000000,40.000000000
1707317334.734890,2.470948219,-0.494122118,-1.482535124,0.000000000,40.000000000
1707317334.834767,2.470017910,-0.496753871,-1.483385921,0.000000000,40.000000000
1707317334.934759,2.470434427,-0.495585471,-1.483009934,0.000000000,40.000000000
1707317335.034819,2.474809885,-0.490863800,-1.482836962,0.000000000,40.000000000
1707317335.134703,2.479603052,-0.487039715,-1.483321309,0.000000000,40.000000000
1707317335.234812,2.489882946,-0.477848738,-1.483865857,0.000000000,40.000000000
1707317335.334640,2.499517202,-0.468451381,-1.483984232,0.000000000,40.000000000
1707317335.434791,2.506350040,-0.461766720,-1.484058380,0.000000000,40.000000000
1707317335.534698,2.518874168,-0.447270542,-1.483072400,0.000000000,40.000000000
1707317335.634610,2.531597137,-0.434856564,-1.483226776,0.000000000,40.000000000
1707317335.734713,2.568560362,-0.400622129,-1.484591246,0.000000000,40.000000000
1707317335.834628,2.588093042,-0.381258011,-1.484675527,0.000000000,40.000000000
1707317335.934707,2.555976629,-0.413120955,-1.484548807,0.000000000,40.000000000
1707317336.034709,2.516214609,-0.455756426,-1.485985518,0.000000000,40.000000000
1707317336.134589,2.464946985,-0.506117344,-1.485532165,0.000000000,40.000000000
1707317336.234534,2.404106140,-0.567281008,-1.485693574,0.000000000,40.000000000
1707317336.334414,2.389102221,-0.582537353,-1.485819817,0.000000000,40.000000000
1707317336.434486,2.410177231,-0.559780121,-1.484978676,0.000000000,40.000000000
1707317336.534512,2.466948509,-0.503892303,-1.485420346,0.000000000,40.000000000
1707317336.634510,2.509207010,-0.460983187,-1.485095024,0.000000000,40.000000000
1707317336.734571,2.551006317,-0.418979436,-1.484992862,0.000000000,40.000000000
1707317336.834475,2.552790880,-0.416885436,-1.484838128,0.000000000,40.000000000
1707317336.934438,2.520941973,-0.448398143,-1.484670043,0.000000000,40.000000000
1707317337.034437,2.486619711,-0.484036118,-1.485327840,0.000000000,40.000000000
1707317337.134418,2.449336767,-0.520894825,-1.485115886,0.000000000,40.000000000
1707317337.234485,2.411922693,-0.560358226,-1.486140490,0.000000000,40.000000000
1707317337.334311,2.413864374,-0.559372425,-1.486618400,0.000000000,40.000000000
1707317337.434448,2.436397552,-0.538713396,-1.487555504,0.000000000,40.000000000
1707317337.534490,2.496121883,-0.478231192,-1.487176538,0.000000000,40.000000000
1707317337.634502,2.536005259,-0.437869161,-1.486937165,0.000000000,40.000000000
1707317337.734508,2.596724272,-0.376927733,-1.486826062,0.000000000,40.000000000
1707317337.834498,2.592707634,-0.380650461,-1.486679077,0.000000000,40.000000000
1707317337.934233,2.542359829,-0.428931713,-1.485645771,0.000000000,40.000000000
1707317338.034326,2.486623287,-0.485199660,-1.485911489,0.000000000,40.000000000
1707317338.134218,2.430704355,-0.541064560,-1.485884547,0.000000000,40.000000000
1707317338.234354,2.376210451,-0.593490899,-1.484850764,0.000000000,40.000000000
1707317338.334364,2.380172014,-0.589292526,-1.484732270,0.000000000,40.000000000
1707317338.434227,2.413889885,-0.555535018,-1.484712481,0.000000000,40.000000000
1707317338.534233,2.485338211,-0.485877812,-1.485608101,0.000000000,40.000000000
1707317338.634281,2.529091120,-0.442010432,-1.485550761,0.000000000,40.000000000
